1926 01 25 0036 159.215 -10.061 15.0 7.48 MW 
1926 03 22 1829 150.317 -6.964 15.0 6.28 MW 
1926 03 27 1048 157.328 -8.962 15.0 7.06 MW 
1935 09 19 0226 151.386 -6.725 15.0 6.22 MW 
1937 09 23 1306 154.083 -6.677 35.0 6.91 MW 
1946 08 11 0154 155.669 -8.151 20.0 6.51 MW 
1960 03 12 2030 152.444 -6.104 35.0 6.28 MW 
1963 08 22 1952 158.403 -9.473 15.0 6.27 MW 
1967 09 28 0456 153.465 -6.520 15.0 6.22 MW 
1971 09 14 0520 151.519 -6.402 20.0 6.28 MW 
1972 08 17 2344 152.932 -6.050 20.0 7.50 MW bibliog
1973 01 18 0928 149.960 -6.840 25.0 6.70 MW 
1976 10 05 1802 153.005 -6.440 25.0 6.34 MW gcmt
1976 11 18 0324 157.080 -8.793 15.0 6.42 MW gcmt
1977 07 29 1115 155.597 -8.082 10.0 7.14 MW gcmt
1981 12 06 1250 152.149 -6.092 20.0 6.27 MW gcmt
1986 02 24 1941 156.785 -8.880 25.0 6.17 MW gcmt
1987 10 12 1357 154.392 -7.247 25.4 6.96 MW gcmt
1988 07 23 1517 152.812 -6.524 25.0 6.95 MW gcmt
1988 08 06 0626 151.016 -7.025 38.3 5.98 MW gcmt
1991 02 09 1619 159.217 -9.890 23.7 6.90 MW gcmt
1995 09 22 0539 152.063 -6.462 35.0 5.95 MW 
1996 06 03 1050 157.448 -9.326 30.0 6.13 MW 
2001 07 08 1754 152.128 -6.645 15.0 6.15 MW gcmt
2003 09 11 2158 156.373 -8.317 15.0 5.97 MW gcmt
2005 12 11 1420 152.285 -6.539 13.6 6.60 MW gcmt
2006 11 07 1738 151.250 -6.523 20.0 6.56 MW gcmt
2007 06 28 0252 154.698 -7.948 18.0 6.69 MW gcmt
