1973 06 18 1934 110.200 -33.500 10.0 5.40 MW MGO
1979 09 06 1507 115.810 -36.600 0.0 3.10 MW MGO
1980 12 08 0012 114.110 -32.120 37.0 5.20 MW MGO
1981 07 13 1651 122.300 -36.150 10.0 4.20 MW MGO
1984 06 07 2254 122.590 -36.450 10.0 3.00 MW MGO
1984 08 06 1732 123.700 -36.700 37.0 4.40 MW MGO
1985 03 13 0613 121.540 -36.610 19.0 3.70 MW MGO
1985 10 16 0952 122.000 -36.040 10.0 3.30 MW MGO
1986 01 02 2133 112.097 -34.484 11.8 4.80 MW EHB
1986 01 15 2211 114.990 -34.510 5.0 3.80 MW MGO
1986 03 03 0237 110.710 -34.000 5.0 3.10 MW MGO
1986 05 10 2318 110.380 -33.000 5.0 3.60 MW MGO
1986 09 05 0618 117.000 -37.060 5.0 3.10 MW MGO
1987 06 03 1501 123.590 -35.180 5.0 3.40 MW MGO
1988 06 24 1756 117.790 -36.590 5.0 3.00 MW MGO
1989 07 20 0929 114.888 -33.967 5.0 3.20 MW MGO
1989 12 22 0312 116.401 -35.882 5.0 3.20 MW MGO
1991 10 21 1944 123.493 -35.208 5.0 2.80 MW MGO
1992 07 12 2142 114.089 -32.789 5.0 3.40 MW MGO
1992 10 31 1107 123.624 -35.197 5.0 2.80 MW MGO
1994 06 23 1355 117.634 -36.238 5.0 3.00 MW MGO
1994 10 19 2007 123.602 -35.208 5.0 3.30 MW MGO
1995 04 29 0712 125.356 -36.383 5.0 4.00 MW MGO
1995 10 27 0420 129.276 -34.631 20.0 3.70 MW ADE
1996 08 18 1142 123.668 -35.210 5.0 3.00 MW AGSO
1996 10 18 0528 114.588 -32.761 5.0 4.10 MW MGO
1997 03 03 1953 134.702 -37.350 13.4 3.40 MW ADE
2000 04 21 1152 134.389 -35.382 7.9 3.00 MW ADE
2001 12 07 2138 123.695 -35.240 10.0 2.90 MW AUST
2002 04 30 1517 114.013 -32.993 10.0 3.40 MW AUST
2004 05 27 0720 115.962 -36.270 17.0 3.20 MW AUST
2004 10 07 1414 121.192 -36.853 10.0 2.80 MW AUST
2005 03 14 1126 131.719 -34.143 10.9 2.80 MW ADE
2005 12 20 1949 114.102 -29.400 10.0 3.80 MW AUST
2007 08 28 1533 115.942 -35.429 18.0 4.60 MW AUST
2011 01 06 0101 121.957 -36.500 10.0 3.00 MW AUST
2011 07 14 0235 114.173 -33.165 0.0 3.43 MW AUST
2011 09 07 2228 136.132 -36.602 14.9 3.50 MW ADE
2011 10 29 0748 117.874 -36.357 10.0 2.80 MW AUST
2012 02 04 0841 133.119 -34.889 15.2 4.00 MW ADE
2013 05 02 1727 120.696 -36.748 10.0 3.42 MW AUST
2013 10 20 0752 123.697 -35.195 10.0 3.10 MW AUST
2013 12 06 1045 121.179 -35.832 10.0 3.10 MW AUST
2014 01 02 0021 124.339 -36.613 20.0 3.86 MW AUST
2014 03 25 1757 121.639 -36.422 10.0 2.80 MW AUST
2014 04 12 1911 115.553 -35.819 10.0 2.90 MW AUST
2014 10 12 0443 113.893 -29.923 10.0 3.30 MW MEL
2015 05 22 0010 110.996 -32.818 10.0 4.10 MW SRC
2016 05 03 1728 114.402 -29.520 10.0 2.90 MW AUST
2017 01 24 0502 123.500 -35.172 10.0 3.20 MW AUST
