MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,6,46,1.9565e-01,1.3028e+00,1.3020e+00
3.05,5,40,1.6304e-01,1.1072e+00,1.1065e+00
3.15,4,35,1.3043e-01,9.4414e-01,9.4032e-01
3.25,10,31,3.2609e-01,8.1370e-01,7.9909e-01
3.35,1,21,3.2609e-02,4.8762e-01,6.7906e-01
3.45,2,20,4.9180e-02,4.5501e-01,5.7703e-01
3.55,2,18,4.9180e-02,4.0583e-01,4.9032e-01
3.65,5,16,1.2295e-01,3.5665e-01,4.1662e-01
3.75,0,11,0.0000e+00,2.3370e-01,3.5397e-01
3.85,1,11,2.4590e-02,2.3370e-01,3.0073e-01
3.95,1,10,2.1898e-02,2.0911e-01,2.5547e-01
4.05,2,9,4.3796e-02,1.8721e-01,2.1701e-01
4.15,0,7,0.0000e+00,1.4341e-01,1.8432e-01
4.25,2,7,4.3796e-02,1.4341e-01,1.5653e-01
4.35,0,5,0.0000e+00,9.9619e-02,1.3291e-01
4.45,1,5,2.0548e-02,9.9619e-02,1.1284e-01
4.55,0,4,0.0000e+00,7.9071e-02,9.5776e-02
4.65,0,4,0.0000e+00,7.9071e-02,8.1275e-02
4.75,0,4,0.0000e+00,7.9071e-02,6.8949e-02
4.85,2,4,4.1096e-02,7.9071e-02,5.8473e-02
4.95,0,2,0.0000e+00,3.7975e-02,4.9569e-02
5.05,1,2,1.8987e-02,3.7975e-02,4.2001e-02
5.15,0,1,0.0000e+00,1.8987e-02,3.5569e-02
5.25,1,1,1.8987e-02,1.8987e-02,3.0102e-02
5.35,0,0,0.0000e+00,0.0000e+00,2.5455e-02
5.45,0,0,0.0000e+00,0.0000e+00,2.1505e-02
5.55,0,0,0.0000e+00,0.0000e+00,1.8149e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.5295e-02
5.75,0,0,0.0000e+00,0.0000e+00,1.2870e-02
5.85,0,0,0.0000e+00,0.0000e+00,1.0809e-02
5.95,0,0,0.0000e+00,0.0000e+00,9.0573e-03
6.05,0,0,0.0000e+00,0.0000e+00,7.5682e-03
6.15,0,0,0.0000e+00,0.0000e+00,6.3027e-03
6.25,0,0,0.0000e+00,0.0000e+00,5.2270e-03
6.35,0,0,0.0000e+00,0.0000e+00,4.3127e-03
6.45,0,0,0.0000e+00,0.0000e+00,3.5356e-03
6.55,0,0,0.0000e+00,0.0000e+00,2.8751e-03
6.65,0,0,0.0000e+00,0.0000e+00,2.3138e-03
6.75,0,0,0.0000e+00,0.0000e+00,1.8366e-03
6.85,0,0,0.0000e+00,0.0000e+00,1.4311e-03
6.95,0,0,0.0000e+00,0.0000e+00,1.0864e-03
7.05,0,0,0.0000e+00,0.0000e+00,7.9343e-04
7.15,0,0,0.0000e+00,0.0000e+00,5.4442e-04
7.25,0,0,0.0000e+00,0.0000e+00,3.3278e-04
7.35,0,0,0.0000e+00,0.0000e+00,1.5289e-04
7.45,0,0,0.0000e+00,0.0000e+00,-1.3461e-18
