MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
5.75,3,12,7.5005e-02,2.6246e-01,2.6106e-01,7.6185e-02
5.85,1,9,2.5002e-02,1.8745e-01,2.0962e-01,6.1174e-02
5.95,1,8,2.5002e-02,1.6245e-01,1.6826e-01,4.9104e-02
6.05,1,7,2.5002e-02,1.3745e-01,1.3501e-01,3.9400e-02
6.15,1,6,2.5002e-02,1.1245e-01,1.0827e-01,3.1598e-02
6.25,1,5,1.9609e-02,8.7445e-02,8.6780e-02,2.5325e-02
6.35,0,4,0.0000e+00,6.7836e-02,6.9498e-02,2.0282e-02
6.45,0,4,0.0000e+00,6.7836e-02,5.5603e-02,1.6227e-02
6.55,0,4,0.0000e+00,6.7836e-02,4.4431e-02,1.2966e-02
6.65,0,4,0.0000e+00,6.7836e-02,3.5449e-02,1.0345e-02
6.75,0,4,0.0000e+00,6.7836e-02,2.8228e-02,8.2377e-03
6.85,1,4,1.9609e-02,6.7836e-02,2.2421e-02,6.5432e-03
6.95,0,3,0.0000e+00,4.8227e-02,1.7753e-02,5.1809e-03
7.05,0,3,0.0000e+00,4.8227e-02,1.4000e-02,4.0856e-03
7.15,0,3,0.0000e+00,4.8227e-02,1.0982e-02,3.2049e-03
7.25,1,3,1.9609e-02,4.8227e-02,8.5557e-03,2.4968e-03
7.35,0,2,0.0000e+00,2.8618e-02,6.6050e-03,1.9276e-03
7.45,1,2,1.9609e-02,2.8618e-02,5.0366e-03,1.4698e-03
7.55,0,1,0.0000e+00,9.0092e-03,3.7756e-03,1.1018e-03
7.65,0,1,0.0000e+00,9.0092e-03,2.7617e-03,8.0597e-04
7.75,1,1,9.0092e-03,9.0092e-03,1.9466e-03,5.6808e-04
7.85,0,0,0.0000e+00,0.0000e+00,1.2912e-03,3.7682e-04
7.95,0,0,0.0000e+00,0.0000e+00,7.6428e-04,2.2304e-04
8.05,0,0,0.0000e+00,0.0000e+00,3.4062e-04,9.9405e-05
8.15,0,0,0.0000e+00,0.0000e+00,3.4062e-04,9.9405e-05
