MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.75,0,2,0.0000e+00,5.0003e-02,4.2204e-02
5.85,1,2,2.5002e-02,5.0003e-02,3.4213e-02
5.95,0,1,0.0000e+00,2.5002e-02,2.7727e-02
6.05,0,1,0.0000e+00,2.5002e-02,2.2463e-02
6.15,1,1,2.5002e-02,2.5002e-02,1.8189e-02
6.25,0,0,0.0000e+00,0.0000e+00,1.4721e-02
6.35,0,0,0.0000e+00,0.0000e+00,1.1905e-02
6.45,0,0,0.0000e+00,0.0000e+00,9.6199e-03
6.55,0,0,0.0000e+00,0.0000e+00,7.7650e-03
6.65,0,0,0.0000e+00,0.0000e+00,6.2594e-03
6.75,0,0,0.0000e+00,0.0000e+00,5.0373e-03
6.85,0,0,0.0000e+00,0.0000e+00,4.0453e-03
6.95,0,0,0.0000e+00,0.0000e+00,3.2402e-03
7.05,0,0,0.0000e+00,0.0000e+00,2.5866e-03
7.15,0,0,0.0000e+00,0.0000e+00,2.0562e-03
7.25,0,0,0.0000e+00,0.0000e+00,1.6256e-03
7.35,0,0,0.0000e+00,0.0000e+00,1.2761e-03
7.45,0,0,0.0000e+00,0.0000e+00,9.9239e-04
7.55,0,0,0.0000e+00,0.0000e+00,7.6213e-04
7.65,0,0,0.0000e+00,0.0000e+00,5.7523e-04
7.75,0,0,0.0000e+00,0.0000e+00,4.2352e-04
7.85,0,0,0.0000e+00,0.0000e+00,3.0038e-04
7.95,0,0,0.0000e+00,0.0000e+00,2.0043e-04
8.05,0,0,0.0000e+00,0.0000e+00,1.1930e-04
8.15,0,0,0.0000e+00,0.0000e+00,5.3451e-05
8.25,0,0,0.0000e+00,0.0000e+00,5.3451e-05
